uptime_id,ts,site_count,ts_updated
3597,"2018-11-12 13:00:00",25,"2018-11-12 13:00:00"
3596,"2018-11-12 12:30:00",22,"2018-11-12 12:30:00"
3595,"2018-11-12 12:00:00",3,"2018-11-12 12:00:00"
3594,"2018-11-11 08:30:00",10,"2018-11-11 08:30:00"
3593,"2018-11-10 18:30:00",26,"2018-11-11 08:00:00"
3592,"2018-11-10 18:00:00",25,"2018-11-10 18:00:00"
3591,"2018-11-10 13:30:00",26,"2018-11-10 17:30:00"
3590,"2018-11-10 12:00:00",25,"2018-11-10 13:00:00"
3589,"2018-11-10 11:00:00",24,"2018-11-10 11:30:00"
3588,"2018-11-10 02:30:00",25,"2018-11-10 10:30:00"
3587,"2018-11-10 01:30:00",26,"2018-11-10 02:00:00"
3586,"2018-11-10 01:00:00",25,"2018-11-10 01:00:00"
3585,"2018-11-09 18:00:00",26,"2018-11-10 00:30:00"
3584,"2018-11-09 15:00:00",25,"2018-11-09 17:30:00"
3583,"2018-11-09 14:30:00",24,"2018-11-09 14:30:00"
3582,"2018-11-09 14:00:00",25,"2018-11-09 14:00:00"
3581,"2018-11-09 13:30:00",19,"2018-11-09 13:30:00"
3580,"2018-11-09 09:30:00",0,"2018-11-09 10:00:00"
3579,"2018-11-09 09:00:00",8,"2018-11-09 09:00:00"
3578,"2018-11-09 03:30:00",26,"2018-11-09 08:30:00"
3577,"2018-11-09 03:00:00",25,"2018-11-09 03:00:00"
3576,"2018-11-09 02:00:00",26,"2018-11-09 02:30:00"
3575,"2018-11-08 18:00:00",25,"2018-11-09 01:30:00"
3574,"2018-11-08 12:30:00",26,"2018-11-08 17:30:00"
3573,"2018-11-08 12:00:00",25,"2018-11-08 12:00:00"
3572,"2018-11-08 08:30:00",26,"2018-11-08 11:30:00"
3571,"2018-11-08 05:00:00",25,"2018-11-08 08:00:00"
3570,"2018-11-08 01:30:00",26,"2018-11-08 04:30:00"
3569,"2018-11-08 01:00:00",25,"2018-11-08 01:00:00"
3568,"2018-11-08 00:30:00",26,"2018-11-08 00:30:00"
3567,"2018-11-07 15:00:00",25,"2018-11-08 00:00:00"
3566,"2018-11-07 14:30:00",24,"2018-11-07 14:30:00"
3565,"2018-11-07 14:00:00",0,"2018-11-07 14:00:00"
3564,"2018-11-07 11:30:00",0,"2018-11-07 11:30:00"
3563,"2018-11-07 11:00:00",17,"2018-11-07 11:00:00"
3562,"2018-11-07 09:00:00",26,"2018-11-07 10:00:00"
3561,"2018-11-07 08:30:00",25,"2018-11-07 08:30:00"
3560,"2018-11-07 08:00:00",26,"2018-11-07 08:00:00"
3559,"2018-11-07 07:30:00",27,"2018-11-07 07:30:00"
3558,"2018-11-07 07:00:00",25,"2018-11-07 07:00:00"
3557,"2018-11-07 06:00:00",26,"2018-11-07 06:30:00"
3556,"2018-11-07 05:00:00",25,"2018-11-07 05:30:00"
3555,"2018-11-07 04:00:00",24,"2018-11-07 04:30:00"
3554,"2018-11-07 03:30:00",25,"2018-11-07 03:30:00"
3553,"2018-11-07 02:30:00",26,"2018-11-07 03:00:00"
3552,"2018-11-07 02:00:00",27,"2018-11-07 02:00:00"
3551,"2018-11-06 22:30:00",26,"2018-11-07 01:30:00"
3550,"2018-11-06 22:00:00",24,"2018-11-06 22:00:00"
3549,"2018-11-06 21:30:00",22,"2018-11-06 21:30:00"
3548,"2018-11-06 20:30:00",24,"2018-11-06 21:00:00"
3547,"2018-11-06 20:00:00",23,"2018-11-06 20:00:00"
3546,"2018-11-06 19:30:00",22,"2018-11-06 19:30:00"
3545,"2018-11-06 19:00:00",23,"2018-11-06 19:00:00"
3544,"2018-11-06 18:00:00",24,"2018-11-06 18:30:00"
3543,"2018-11-06 17:30:00",25,"2018-11-06 17:30:00"
3542,"2018-11-06 17:00:00",24,"2018-11-06 17:00:00"
3541,"2018-11-06 16:30:00",23,"2018-11-06 16:30:00"
3540,"2018-11-06 14:30:00",20,"2018-11-06 16:00:00"
3539,"2018-11-06 12:30:00",19,"2018-11-06 14:00:00"
3538,"2018-11-06 11:30:00",20,"2018-11-06 12:00:00"
3537,"2018-11-06 11:00:00",19,"2018-11-06 11:00:00"
3536,"2018-11-06 07:00:00",21,"2018-11-06 10:30:00"
3535,"2018-11-06 02:30:00",20,"2018-11-06 06:30:00"
3534,"2018-11-05 23:30:00",21,"2018-11-06 02:00:00"
3533,"2018-11-05 22:30:00",22,"2018-11-05 23:00:00"
3532,"2018-11-05 22:00:00",21,"2018-11-05 22:00:00"
3531,"2018-11-05 21:00:00",22,"2018-11-05 21:30:00"
3530,"2018-11-05 20:00:00",21,"2018-11-05 20:30:00"
3529,"2018-11-05 19:00:00",22,"2018-11-05 19:30:00"
3528,"2018-11-05 18:30:00",23,"2018-11-05 18:30:00"
3527,"2018-11-05 16:30:00",24,"2018-11-05 18:00:00"
